case_id,model,model_cutoff,arm,date_filed,caption,court_level,prediction,refused,finish,error,temp_dropped,latency_s,in_tokens,out_tokens,served_by,ts
cl_2025_cadc_robert_goodrich_v._bank_of_america_,google/gemini-3.1-pro-preview,2025-01-31,post_cutoff,2025-07-01,Robert Goodrich v. Bank of America N.A.,circuit,"**1. THE OUTCOME**
Affirmed in favor of the defendant, Bank of America N.A.

**2. THE REASONING**
The D.C. Circuit affirmed the district court’s dismissal of Goodrich’s complaint for failure to state a claim. The court held that Goodrich’s claims under the Fair Credit Reporting Act (FCRA) were legally insufficient because he failed to allege that he filed a dispute with a Consumer Reporting Agency (CRA). Under 15 U.S.C. § 1681s-2(b), a furnisher of information (such as Bank of America) is only subject to a private right of action for failing to investigate a disputed debt if the consumer first notifies a CRA, which in turn must notify the furnisher. Because Goodrich alleged only that he disputed the charges directly with the bank, he did not trigger the bank's statutory duty to investigate, and his claims were properly dismissed.",0,stop,,0,9.83,287,1063,Google,2026-08-13T16:30:35
cl_2025_ca2_united_states_v._phillips,google/gemini-3.1-pro-preview,2025-01-31,post_cutoff,2025-07-01,United States v. Phillips,circuit,"1. THE OUTCOME — Affirmed. The United States prevailed.

2. THE REASONING — The court held that the district court properly denied Phillips’s motion to suppress the firearm recovered during his arrest. The Second Circuit concluded that the officers had reasonable, articulable suspicion to conduct a *Terry* stop based on the totality of the circumstances, which included Phillips’s unprovoked, headlong flight upon spotting a marked police cruiser in a high-crime area, combined with his evasive movements toward his waistband. Consequently, the subsequent pat-down and seizure of the weapon did not violate the Fourth Amendment.",0,stop,,0,10.31,278,1059,Google,2026-08-13T16:30:36
cl_2025_ca2_collins_v._ne._grocery_llc,google/gemini-3.1-pro-preview,2025-01-31,post_cutoff,2025-07-01,"Collins v. Ne. Grocery, LLC",circuit,"**1. THE OUTCOME**
Affirmed. The defendant-appellee, Northeast Grocery, LLC, prevailed.

**2. THE REASONING**
The Second Circuit affirmed the district court’s grant of summary judgment in favor of the employer. The court held that, under the *McDonnell Douglas* burden-shifting framework, even assuming the plaintiff established a prima facie case of employment discrimination, Northeast Grocery articulated a legitimate, non-discriminatory reason for the adverse employment action (violation of company policy). The plaintiff failed to proffer sufficient evidence to create a genuine dispute of material fact that the employer's stated rationale was a pretext for unlawful discrimination.",0,stop,,0,11.64,281,1175,Google,2026-08-13T16:30:37
cl_2025_ca1_securities_and_exchange_commission_,google/gemini-3.1-pro-preview,2025-01-31,post_cutoff,2025-07-01,"Securities and Exchange Commission v. Commonwealth Equity Services, LLC",circuit,"**1. THE OUTCOME**
Affirmed. The Securities and Exchange Commission (SEC) prevailed.

**2. THE REASONING**
The First Circuit held that Commonwealth Equity Services breached its fiduciary duty under the Investment Advisers Act of 1940 by failing to adequately disclose conflicts of interest related to revenue-sharing agreements and mutual fund share class selections. The court reasoned that Commonwealth’s generic disclosures stating that it ""may"" receive certain fees (such as 12b-1 fees) were materially misleading because the firm was actually receiving such compensation and had a financial incentive to recommend more expensive share classes when cheaper alternatives were available. Consequently, the disclosures failed to provide clients with sufficient information to give informed consent to the conflict of interest. The court also upheld the district court's equitable award of disgorgement and civil penalties.",0,stop,,0,11.66,284,1171,Google,2026-08-13T16:30:37
cl_2025_ca11_united_states_v._ephren_taylor_ii,google/gemini-3.1-pro-preview,2025-01-31,post_cutoff,2025-07-01,"United States v. Ephren Taylor, II",circuit,"**1. THE OUTCOME**
Affirmed. The United States prevailed.

**2. THE REASONING**
The Eleventh Circuit held that the district court did not abuse its discretion in denying Taylor’s motion for a sentence reduction (compassionate release) under 18 U.S.C. § 3582(c)(1)(A). The court reasoned that the district court properly weighed the 18 U.S.C. § 3553(a) factors, reasonably concluding that the massive scale and severity of Taylor’s multi-million dollar wire fraud scheme outweighed his proffered extraordinary and compelling reasons for early release.",0,stop,,0,11.75,283,1194,Google,2026-08-13T16:30:37
cl_2026_ca11_u.s._securities_and_exchange_commis,google/gemini-3.1-pro-preview,2025-01-31,post_cutoff,2026-07-01,"U.S. Securities and Exchange Commission v. Spartan Securities Group, LTD",circuit,"**1. THE OUTCOME**
The Eleventh Circuit affirmed the district court’s judgment. The Securities and Exchange Commission (SEC) prevailed.

**2. THE REASONING**
The court held that Spartan Securities Group violated Section 15(c) of the Securities Exchange Act and Rule 15c2-11 by initiating market quotations for microcap (penny) stocks without having a reasonable basis to believe the issuers' information was accurate and derived from reliable sources. The court reasoned that broker-dealers serve a critical ""gatekeeper"" function in the securities markets. Consequently, Spartan could not satisfy its regulatory obligations by merely rubber-stamping Form 211 applications and relying on the unverified representations of the issuers' insiders, especially when obvious red flags—such as the issuers being newly formed shell companies with no actual operations—demanded independent scrutiny and verification.",0,stop,,0,12.32,289,1261,Google,2026-08-13T16:30:38
cl_2025_ca2_in_re_shanda_games_ltd._sec._litig.,google/gemini-3.1-pro-preview,2025-01-31,post_cutoff,2025-07-01,In Re Shanda Games Ltd. SEC. Litig.,circuit,"**1. THE OUTCOME**
Affirmed. The defendants (Shanda Games Ltd. and its affiliated officers/directors) prevailed.

**2. THE REASONING**
The Second Circuit affirmed the district court’s dismissal of the plaintiffs' securities fraud claims for failing to meet the heightened pleading standards of the Private Securities Litigation Reform Act (PSLRA). The court reasoned that the plaintiffs failed to adequately plead actionable material misstatements or a strong inference of scienter regarding the company's take-private transaction. Specifically, the court held that the proxy materials sufficiently disclosed the financial projections, the valuation methodologies used by the special committee, and the buyout group's conflicts of interest. The plaintiffs' allegations that management deliberately depressed the buyout price were deemed to be fundamentally state-law breach of fiduciary duty claims, which are not actionable as federal securities fraud under Section 10(b) or Section 14(a) absent a specific, material deceptive act.",0,stop,,0,13.86,285,1454,Google,2026-08-13T16:30:39
cl_2025_ca3_nra_group_llc_v._nicole_durenleau,google/gemini-3.1-pro-preview,2025-01-31,post_cutoff,2025-07-01,NRA Group LLC v. Nicole Durenleau,circuit,"**1. THE OUTCOME**
Vacated and remanded with instructions to dismiss. NRA Group LLC prevailed.

**2. THE REASONING**
The Third Circuit held that the consumer (Durenleau) lacked Article III standing to pursue her claims under the Fair Debt Collection Practices Act (FDCPA). Applying the Supreme Court’s precedent in *TransUnion LLC v. Ramirez*, the court reasoned that Durenleau’s receipt of an allegedly non-compliant or misleading debt collection letter constituted a bare procedural violation. Because she failed to demonstrate that she relied on the communication to her detriment, suffered reputational harm, or sustained any concrete financial injury, she could not establish an injury in fact. Consequently, the district court lacked subject-matter jurisdiction to hear the case.",0,stop,,0,14.23,282,1422,Google,2026-08-13T16:30:40
cl_2025_ca9_united_states_v._rice,google/gemini-3.1-pro-preview,2025-01-31,post_cutoff,2025-07-01,United States v. Rice,circuit,"**1. THE OUTCOME**
Affirmed. The Government prevailed.

**2. THE REASONING**
Because this case has a decision date in the future (July 1, 2025), I am predicting the most likely outcome for a standard federal criminal appeal in the Ninth Circuit. 

The Ninth Circuit likely affirmed the district court’s denial of Rice’s motion to dismiss his indictment for being a felon in possession of a firearm under 18 U.S.C. § 922(g)(1). The court would reason that, under the Supreme Court's Second Amendment framework in *New York State Rifle & Pistol Ass'n v. Bruen* and *United States v. Rahimi*, the federal prohibition on firearm possession by convicted felons remains constitutional. The court would conclude that § 922(g)(1) is consistent with the Nation's historical tradition of firearm regulation, which includes disarming individuals who have demonstrated a disregard for the law or who pose a danger to society.",0,stop,,0,14.37,278,1491,Google,2026-08-13T16:30:40
cl_2025_ca2_natl_rifle_assn_of_am._v._vullo,google/gemini-3.1-pro-preview,2025-01-31,post_cutoff,2025-07-01,Nat'l Rifle Ass'n of Am. v. Vullo,circuit,"**1. THE OUTCOME**

Affirmed (the district court’s denial of the motion to dismiss) and remanded for further proceedings. The National Rifle Association (NRA) prevailed. 

**2. THE REASONING**

Deciding the case on remand from the United States Supreme Court, the Second Circuit held that Vullo was not entitled to qualified immunity at the pleading stage. The Supreme Court had previously vacated the Second Circuit’s earlier decision, holding that the NRA plausibly alleged a First Amendment violation because Vullo’s actions—leveraging her regulatory power over New York banks and insurance companies to threaten enforcement actions if they did not sever ties with the NRA—constituted unconstitutional coercion rather than permissible government speech. 

Tasked on remand with determining the remaining prong of qualified immunity, the Second Circuit concluded that the constitutional right against such indirect censorship was ""clearly established"" under *Bantam Books, Inc. v. Sullivan* and its progeny. Because a reasonable official would have known that using state regulatory authority to coerce private entities into blacklisting a disfavored advocacy group violates the First Amendment, the court affirmed the district court's denial of Vullo's motion to dismiss, allowing the NRA's claims to proceed to discovery.",0,stop,,0,15.57,287,1681,Google,2026-08-13T16:30:41
