case_id,model,model_cutoff,arm,date_filed,caption,court_level,prediction,refused,finish,error,temp_dropped,latency_s,in_tokens,out_tokens,served_by,ts
cl_2025_ca2_natl_rifle_assn_of_am._v._vullo,openai/gpt-5,2024-09-30,post_cutoff,2025-07-01,Nat'l Rifle Ass'n of Am. v. Vullo,circuit,"1. Outcome — Vacated and remanded; the NRA prevailed at this stage (its First Amendment claim may proceed). The court rejected Vullo’s qualified-immunity defense on the pleadings.

2. Reasoning — Applying the Supreme Court’s remand in NRA v. Vullo, the court held it was clearly established by 2018 that a government official may not use threats of adverse regulatory action to coerce regulated entities to cut ties with a speaker because of its protected advocacy (Bantam Books; Okwedy). The NRA’s allegations—guidance letters coupled with back‑channel pressure and enforcement leverage—plausibly alleged unconstitutional coercion/retaliation, so dismissal was improper and qualified immunity unavailable at this stage.",0,stop,,0,22.78,282,1594,OpenAI,2026-08-13T16:22:05
cl_2025_cadc_robert_goodrich_v._bank_of_america_,openai/gpt-5,2024-09-30,post_cutoff,2025-07-01,Robert Goodrich v. Bank of America N.A.,circuit,"1. Outcome — Appeal dismissed for lack of appellate jurisdiction; Bank of America prevailed.

2. Reasoning — The panel held it had no jurisdiction under FAA § 16 to review the district court’s order compelling arbitration while staying (not dismissing) the case. An order compelling arbitration coupled with a stay is not a “final decision,” and no collateral-order exception applied, so the appeal had to be dismissed.",0,stop,,0,23.32,282,1468,OpenAI,2026-08-13T16:22:05
cl_2025_ca2_collins_v._ne._grocery_llc,openai/gpt-5,2024-09-30,post_cutoff,2025-07-01,"Collins v. Ne. Grocery, LLC",circuit,"1. Outcome — Affirmed; Northeast Grocery, LLC prevailed. The Second Circuit left in place the district court’s dismissal.

2. Reasoning — The court held Collins lacked Article III standing to pursue ADA Title III injunctive relief because his allegations were conclusory and did not plausibly show a concrete injury or a real and immediate intent to return, in line with TransUnion, Harty, and Calcano. With no federal standing, the ADA claim was dismissed and the court properly declined supplemental jurisdiction over the state-law claims.",0,stop,,0,30.75,278,1933,OpenAI,2026-08-13T16:22:13
cl_2025_ca9_winston_anderson_v._intel_corporati,openai/gpt-5,2024-09-30,post_cutoff,2025-07-01,Winston Anderson v. Intel Corporation Investment Policy Committee,circuit,"1. Outcome — Affirmed. The Intel Corporation Investment Policy Committee prevailed.

2. Reasoning — The panel held the ERISA claims failed because plaintiffs did not show a deficient fiduciary process under §404: their arguments targeted results (underperformance and the use of hedge funds/private equity in Intel’s target‑date funds) rather than evidence of an imprudent, ill‑informed process. The record showed a documented, reasoned process with expert input. The §406 prohibited‑transaction theories also failed because the challenged payments were for plan services and fit within §408(b)(2)’s exemption. Additionally, Anderson lacked Article III standing to challenge funds he never invested in, narrowing the case. Hence, dismissal/summary judgment for defendants was proper.",0,stop,,0,33.22,279,2158,OpenAI,2026-08-13T16:22:15
cl_2025_ca2_united_states_v._phillips,openai/gpt-5,2024-09-30,post_cutoff,2025-07-01,United States v. Phillips,circuit,"1. Outcome — Affirmed; the United States prevailed.

2. Reasoning — The panel rejected Phillips’s Second Amendment challenge to his felon‑in‑possession conviction under 18 U.S.C. § 922(g)(1). Applying Bruen as clarified by Rahimi, the court held the Government carried its burden to show a longstanding historical tradition of disarming persons whose serious lawbreaking or demonstrated dangerousness places them outside the class of “law‑abiding, responsible” citizens; thus § 922(g)(1) is constitutional both facially and as applied to Phillips.",0,stop,,0,36.95,275,2397,OpenAI,2026-08-13T16:22:19
cl_2024_ca2_peterson_v._bank_markazi,openai/gpt-5,2024-09-30,post_cutoff,2024-11-13,Peterson v. Bank Markazi,circuit,"1. Outcome — Affirmed; the Peterson judgment creditors prevailed over Bank Markazi.

2. Reasoning — The court held that 22 U.S.C. § 8772 removes FSIA and central‑bank immunities for the specific New York–held assets at issue and requires their turnover to satisfy the terrorism judgments. In light of Bank Markazi v. Peterson, the remaining constitutional attacks (including separation‑of‑powers and due‑process theories) failed, and Bank Markazi had no surviving property interest to contest the turnover or the distribution orders.",0,stop,,0,38.17,275,2431,OpenAI,2026-08-13T16:22:20
cl_2025_ca9_united_states_v._rice,openai/gpt-5,2024-09-30,post_cutoff,2025-07-01,United States v. Rice,circuit,"1. Outcome — Affirmed in part; vacated in part and remanded. The government prevailed on the convictions; the defendant prevailed on sentencing.

2. Reasoning — The panel rejected Rice’s challenges to his convictions, including a post‑Bruen Second Amendment attack on 18 U.S.C. § 922(g)(1) (foreclosed by circuit precedent and consistent with the historical‑tradition framework) and any Rehaif/Fourth Amendment arguments (either no error or harmless). But it held the district court miscalculated the Guidelines by treating a prior California drug conviction as a “controlled substance offense” under the federal definition, which is categorically broader than the federal schedules and not divisible. Because the error affected the advisory range, the sentence was vacated and the case remanded for resentencing.",0,stop,,0,38.26,275,2444,OpenAI,2026-08-13T16:22:20
cl_2025_ca11_united_states_v._ephren_taylor_ii,openai/gpt-5,2024-09-30,post_cutoff,2025-07-01,"United States v. Ephren Taylor, II",circuit,"1. Outcome — Affirmed in part; vacated and remanded in part. The government largely prevailed (conviction and prison sentence affirmed), but Taylor prevailed on his restitution challenge.

2. Reasoning — The panel held the district court’s restitution order exceeded the MVRA’s limits and lacked the required findings. It improperly included non-compensable items (such as private investigation/attorneys’ fees and promised returns) in light of Lagos and failed to make victim‑specific, causation‑based findings or account for offsets. Those defects required vacatur and recalculation of restitution; all other challenges (to conviction, guidelines, and term of imprisonment) failed.",0,stop,,0,40.82,280,2618,OpenAI,2026-08-13T16:22:23
cl_2025_ca2_in_re_shanda_games_ltd._sec._litig.,openai/gpt-5,2024-09-30,post_cutoff,2025-07-01,In Re Shanda Games Ltd. SEC. Litig.,circuit,"1. Outcome — Affirmed; the defendants (Shanda Games and the going‑private buyer group) prevailed. The Second Circuit upheld the district court’s dismissal with prejudice.

2. Reasoning — The court held the complaint failed to state a Section 10(b)/Rule 10b‑5 claim arising from the going‑private disclosures. The challenged statements in the Schedule 13E‑3 and related materials (fairness/opinion language and “no present plans” statements about any relisting) were nonactionable opinions or forward‑looking statements; plaintiffs did not plead contemporaneous facts showing the speakers did not actually hold those views or that omitted facts made the opinions misleading under Omnicare. Allegations that defendants were motivated to acquire the company cheaply and might later relist in China did not create a strong inference of scienter. To the extent plaintiffs relied on Rule 13e‑3 itself, there is no private right of action. With no actionable misstatement and no strong inference of scienter (and, alternatively, no adequately pled loss causation), dismissal was properly affirmed.",0,stop,,0,45.39,281,2864,OpenAI,2026-08-13T16:22:27
cl_2025_ca3_nra_group_llc_v._nicole_durenleau,openai/gpt-5,2024-09-30,post_cutoff,2025-07-01,NRA Group LLC v. Nicole Durenleau,circuit,"1. Outcome — Vacated and remanded with instructions to dismiss for lack of Article III jurisdiction; NRA Group prevailed.

2. Reasoning — The panel held the consumer lacked a concrete injury for an FDCPA claim premised on information on the collection mailer/envelope (e.g., account data/QR code). Applying TransUnion v. Ramirez and its own post‑TransUnion precedent, the court concluded a bare statutory violation and risk of disclosure, without evidence that any third party actually viewed or obtained the debtor’s information, is not a concrete harm akin to a recognized common‑law privacy tort, so the district court lacked subject‑matter jurisdiction.",0,stop,,0,47.72,280,2979,OpenAI,2026-08-13T16:22:30
