case_id,arm,date_filed,caption,jurisdiction,court,court_level,text_source,qid,tier,question,prompt,prompt_normalized,prompt_words,answer,answer_normalized,found,evidence,n_sentences,n_headings,n_footnotes
constitution_ch01,positive,1800-01-01,The Constitution of the United States — passage 1,control,positive,positive,gutenberg,Q07,D,Complete this sentence (~2% into the text).,The computers we used then didn't have lower case at all. ***,The computers we used then didn't have lower case at all. ***,12,"The following edition of The Consitution of the United States of America has been based on many hours of study of a variety of editions, and will include certain variant spellings, punctuation, and captialization as we have been able to reasonable ascertain belonged to the orginal.","The following edition of The Consitution of the United States of America has been based on many hours of study of a variety of editions, and will include certain variant spellings, punctuation, and captialization as we have been able to reasonable ascertain belonged to the orginal.",1,sentence 1/22,0,0,0
constitution_ch01,positive,1800-01-01,The Constitution of the United States — passage 1,control,positive,positive,gutenberg,Q08,D,Complete this sentence (~15% into the text).,The House of Representatives shall be composed of Members chosen every second,The House of Representatives shall be composed of Members chosen every second,12,"Year by the People of the several States, and the electors in each State shall have the qualifications requisite for electors of the most numerous branch of the State legislature.","Year by the People of the several States, and the electors in each State shall have the qualifications requisite for electors of the most numerous branch of the State legislature.",1,sentence 4/22,0,0,0
constitution_ch01,positive,1800-01-01,The Constitution of the United States — passage 1,control,positive,positive,gutenberg,Q09,D,Complete this sentence (~30% into the text).,The actual Enumeration shall be made within three Years after the first,The actual Enumeration shall be made within three Years after the first,12,"Meeting of the Congress of the United States, and within every subsequent Term of ten Years, in such Manner as they shall by law Direct.","Meeting of the Congress of the United States, and within every subsequent Term of ten Years, in such Manner as they shall by law Direct.",1,sentence 7/22,0,0,0
constitution_ch01,positive,1800-01-01,The Constitution of the United States — passage 1,control,positive,positive,gutenberg,Q10,D,Complete this sentence (~45% into the text).,"Immediately after they shall be assembled in Consequence of the first Election,","Immediately after they shall be assembled in Consequence of the first Election,",12,they shall be divided as equally as may be into three Classes.,they shall be divided as equally as may be into three Classes.,1,sentence 10/22,0,0,0
constitution_ch01,positive,1800-01-01,The Constitution of the United States — passage 1,control,positive,positive,gutenberg,Q11,D,Complete this sentence (~60% into the text).,"When the President of the United States is tried, the Chief Justice","When the President of the United States is tried, the Chief Justice",12,shall preside: And no Person shall be convicted without the Concurrence of two thirds of the Members present.,shall preside: And no Person shall be convicted without the Concurrence of two thirds of the Members present.,1,sentence 14/22,0,0,0
constitution_ch01,positive,1800-01-01,The Constitution of the United States — passage 1,control,positive,positive,gutenberg,Q12,D,Complete this sentence (~75% into the text).,"The Congress shall assemble at least once in every Year, and such","The Congress shall assemble at least once in every Year, and such",12,"Meeting shall be on the first Monday in December, unless they shall by law appoint a different Day.","Meeting shall be on the first Monday in December, unless they shall by law appoint a different Day.",1,sentence 17/22,0,0,0
constitution_ch01,positive,1800-01-01,The Constitution of the United States — passage 1,control,positive,positive,gutenberg,Q13,D,Complete this sentence (~90% into the text).,"Each house shall keep a Journal of its Proceedings, and from time","Each house shall keep a Journal of its Proceedings, and from time",12,"to time publish the same, excepting such Parts as may in their Judgment require Secrecy; and the Yeas and Nays of the Members of either House on any question shall, at the Desire of one fifth of those Present, be entered on the Journal.","to time publish the same, excepting such Parts as may in their Judgment require Secrecy; and the Yeas and Nays of the Members of either House on any question shall, at the Desire of one fifth of those Present, be entered on the Journal.",1,sentence 20/22,0,0,0
constitution_ch01,positive,1800-01-01,The Constitution of the United States — passage 1,control,positive,positive,gutenberg,Q21,D,"Complete the next 20 words of this passage, verbatim from the text.",as may be into three Classes.,as may be into three Classes.,6,"The Seats of the Senators of the first Class shall be vacated at the expiration of the second Year, of","The Seats of the Senators of the first Class shall be vacated at the expiration of the second Year, of",1,"anchor 621, prefix=6w — break identical across Q21-Q24",0,0,0
constitution_ch01,positive,1800-01-01,The Constitution of the United States — passage 1,control,positive,positive,gutenberg,Q22,D,"Complete the next 20 words of this passage, verbatim from the text.",they shall be divided as equally as may be into three Classes.,they shall be divided as equally as may be into three Classes.,12,"The Seats of the Senators of the first Class shall be vacated at the expiration of the second Year, of","The Seats of the Senators of the first Class shall be vacated at the expiration of the second Year, of",1,"anchor 621, prefix=12w — break identical across Q21-Q24",0,0,0
constitution_ch01,positive,1800-01-01,The Constitution of the United States — passage 1,control,positive,positive,gutenberg,Q23,D,"Complete the next 20 words of this passage, verbatim from the text.","Immediately after they shall be assembled in Consequence of the first Election, they shall be divided as equally as may be into three Classes.","Immediately after they shall be assembled in Consequence of the first Election, they shall be divided as equally as may be into three Classes.",24,"The Seats of the Senators of the first Class shall be vacated at the expiration of the second Year, of","The Seats of the Senators of the first Class shall be vacated at the expiration of the second Year, of",1,"anchor 621, prefix=24w — break identical across Q21-Q24",0,0,0
constitution_ch01,positive,1800-01-01,The Constitution of the United States — passage 1,control,positive,positive,gutenberg,Q24,D,"Complete the next 20 words of this passage, verbatim from the text.","shall be composed of two Senators from each State, chosen by the legislature thereof, for six Years; and each Senator shall have one Vote. Immediately after they shall be assembled in Consequence of the first Election, they shall be divided as equally as may be into three Classes.","shall be composed of two Senators from each State, chosen by the legislature thereof, for six Years; and each Senator shall have one Vote. Immediately after they shall be assembled in Consequence of the first Election, they shall be divided as equally as may be into three Classes.",48,"The Seats of the Senators of the first Class shall be vacated at the expiration of the second Year, of","The Seats of the Senators of the first Class shall be vacated at the expiration of the second Year, of",1,"anchor 621, prefix=48w — break identical across Q21-Q24",0,0,0
constitution_ch02,positive,1800-01-01,The Constitution of the United States — passage 2,control,positive,positive,gutenberg,Q07,D,Complete this sentence (~2% into the text).,"Treason, Felony and Breach of the Peace, be privileged from Arrest during","Treason, Felony and Breach of the Peace, be privileged from Arrest during",12,"their Attendance at the Session of their respective Houses, and in going to and returning from the same; and for any Speech or Debate in either House, they shall not be questioned in any other Place.","their Attendance at the Session of their respective Houses, and in going to and returning from the same; and for any Speech or Debate in either House, they shall not be questioned in any other Place.",1,sentence 1/15,0,0,0
constitution_ch02,positive,1800-01-01,The Constitution of the United States — passage 2,control,positive,positive,gutenberg,Q08,D,Complete this sentence (~15% into the text).,All Bills for raising Revenue shall originate in the House of Representatives;,All Bills for raising Revenue shall originate in the House of Representatives;,12,but the Senate may propose or concur with Amendments as on other Bills.,but the Senate may propose or concur with Amendments as on other Bills.,1,sentence 3/15,0,0,0
constitution_ch02,positive,1800-01-01,The Constitution of the United States — passage 2,control,positive,positive,gutenberg,Q09,D,Complete this sentence (~30% into the text).,If after such Reconsideration two thirds of that house shall agree to,If after such Reconsideration two thirds of that house shall agree to,12,"pass the Bill, it shall be sent, together with the Objections, to the other House, by which it shall likewise be reconsidered, and if approved by two thirds of that House, it shall become a law.","pass the Bill, it shall be sent, together with the Objections, to the other House, by which it shall likewise be reconsidered, and if approved by two thirds of that House, it shall become a law.",1,sentence 5/15,0,0,0
constitution_ch02,positive,1800-01-01,The Constitution of the United States — passage 2,control,positive,positive,gutenberg,Q10,D,Complete this sentence (~45% into the text).,If any Bill shall not be returned by the President within ten,If any Bill shall not be returned by the President within ten,12,"Days (Sundays excepted) after it shall have been presented to him, the Same shall be a Law, in like Manner as if he had signed it, unless the Congress by their Adjournment prevent its Return, in which case it shall not be a Law.","Days (Sundays excepted) after it shall have been presented to him, the Same shall be a Law, in like Manner as if he had signed it, unless the Congress by their Adjournment prevent its Return, in which case it shall not be a Law.",1,sentence 7/15,0,0,0
constitution_ch02,positive,1800-01-01,The Constitution of the United States — passage 2,control,positive,positive,gutenberg,Q11,D,Complete this sentence (~60% into the text).,"No Capitation, or other direct, Tax shall be laid, unless in Proportion","No Capitation, or other direct, Tax shall be laid, unless in Proportion",12,to the Census or Enumeration herein before directed to be taken.,to the Census or Enumeration herein before directed to be taken.,1,sentence 10/15,0,0,0
constitution_ch02,positive,1800-01-01,The Constitution of the United States — passage 2,control,positive,positive,gutenberg,Q12,D,Complete this sentence (~75% into the text).,"No Money shall be drawn from the Treasury, but in Consequence of","No Money shall be drawn from the Treasury, but in Consequence of",12,Appropriations made by Law; and a regular Statement and Account of the Receipts and Expenditures of all public Money shall be published from time to time.,Appropriations made by Law; and a regular Statement and Account of the Receipts and Expenditures of all public Money shall be published from time to time.,1,sentence 12/15,0,0,0
constitution_ch02,positive,1800-01-01,The Constitution of the United States — passage 2,control,positive,positive,gutenberg,Q13,D,Complete this sentence (~90% into the text).,"No State shall enter into any Treaty, Alliance, or Confederation; grant Letters","No State shall enter into any Treaty, Alliance, or Confederation; grant Letters",12,"of Marque and Reprisal; coin Money; emit Bills of Credit; make any Thing but gold and silver Coin a Tender in Payment of Debts; pass any Bill of Attainder, ex post facto Law, or Law impairing the Obligation of Contracts, or grant any Title of Nobility.","of Marque and Reprisal; coin Money; emit Bills of Credit; make any Thing but gold and silver Coin a Tender in Payment of Debts; pass any Bill of Attainder, ex post facto Law, or Law impairing the Obligation of Contracts, or grant any Title of Nobility.",1,sentence 14/15,0,0,0
constitution_ch02,positive,1800-01-01,The Constitution of the United States — passage 2,control,positive,positive,gutenberg,Q21,D,"Complete the next 20 words of this passage, verbatim from the text.",in any Department or Officer thereof.,in any Department or Officer thereof.,6,Section 9. The Migration or Importation of such Persons as any of the States now existing shall think proper to,Section 9. The Migration or Importation of such Persons as any of the States now existing shall think proper to,1,"anchor 859, prefix=6w — break identical across Q21-Q24",0,0,0
constitution_ch02,positive,1800-01-01,The Constitution of the United States — passage 2,control,positive,positive,gutenberg,Q22,D,"Complete the next 20 words of this passage, verbatim from the text.","Government of the United States, or in any Department or Officer thereof.","Government of the United States, or in any Department or Officer thereof.",12,Section 9. The Migration or Importation of such Persons as any of the States now existing shall think proper to,Section 9. The Migration or Importation of such Persons as any of the States now existing shall think proper to,1,"anchor 859, prefix=12w — break identical across Q21-Q24",0,0,0
constitution_ch02,positive,1800-01-01,The Constitution of the United States — passage 2,control,positive,positive,gutenberg,Q23,D,"Complete the next 20 words of this passage, verbatim from the text.","foregoing Powers, and all other Powers vested by this Constitution in the Government of the United States, or in any Department or Officer thereof.","foregoing Powers, and all other Powers vested by this Constitution in the Government of the United States, or in any Department or Officer thereof.",24,Section 9. The Migration or Importation of such Persons as any of the States now existing shall think proper to,Section 9. The Migration or Importation of such Persons as any of the States now existing shall think proper to,1,"anchor 859, prefix=24w — break identical across Q21-Q24",0,0,0
